Kenmerk,Onderwerp,Toelichting,Reactie
HRM,Gegevens over ongemaximeerd cumulatief pensioengevend jaarinkomen vinden in AFAS Profit.,"Probleembeschrijving: Voor ASR Loyalis moeten we het ongemaximeerd cumulatief pensioengevend jaarinkomen doorgeven over 2024. Waar haal ik deze gegevens uit AFAS Profit? Aanvullende details: - Kun je aangeven waar je precies tegenaan loopt bij het vinden van het ongemaximeerd cumulatief pensioengevend jaarinkomen in AFAS Profit? - Weet niet waar ik dit in het menu moet vinden in profit. - Kun je toelichten welke stappen je al hebt ondernomen om deze gegevens te vinden? - helpcentre gecheckt, geen meldingen gevonden hierover. - Kun je bevestigen of je toegang hebt tot de relevante module in AFAS Profit waar deze gegevens beschikbaar zouden moeten zijn? - Ja, voldoende toegang HRM deel","Beste Marcel, Op dit moment hebben wij hier geen standaard voor beschikbaar. Je kan voor nu dit raadplegen via het Standenregister jaaroverzicht. Ga hiervoor naar HRM / Payroll / Overzicht / Standenregister jaaroverzicht. Wel zie ik dat jouw vraag in is gestuurd als wens, dus mijn advies is om je stem uit te brengen op de wens. Wij maken standaard software voor onze klanten. Voor ons is het belangrijk dat een functionaliteit door meerdere klanten is gewenst voordat wij de functionaliteit gaan realiseren. Via de wensenlijst kun jij jouw stem toevoegen aan deze wens. Ga naar idee.afas.nl en zoek op wens PAY-I-608. De voordelen van de wensenlijst? - Inzichtelijk wat andere klanten gewenst hebben - Rechtstreeks contact met onze productmanagers - Het helpt ons om inzichtelijk te krijgen wat jouw behoefte is Meer informatie over de wensenlijst? Bekijk de FAQ op www.afas.nl/wensenlijst/faq Ik sluit hierbij het incident en wens je een fijne dag! Met vriendelijke groet, Anne May de Ruwe Meer informatie over de werkwijze van Support vind je op onze klantportal: https://klant.afas.nl/werkwijze-support"
HRM,UPA-aanlevering voor Loyalis toont geen statusveld en geeft foutmelding bij pensioenaangifte.,"Probleembeschrijving: Wij lopen tegen een vreemde situatie aan betreffende de UPA-aanlevering voor Loyalis. De inrichting is gedaan conform instructie en alles staat goed: instantie, instantie bij werkgever, communicatieprofiel, instantie bij medewerkers. Echter lijkt de activering ""Uniforme Pensioenaanlevering) (die wel staat aangevinkt) niet volledig te zijn. Ik leid dit af vanuit het feit dat de weergave van de aangiftecockpit niet het UPA statusveld toont. Er is wel een actieknop pensioenaangifte, maar dan verschijnt de foutmelding (zie details). In de bijlage screenshots van de inrichting en de activering. Hebben jullie dit eerder meegemaakt? Aanvullende details: - Kun je precies aangeven welke foutmelding verschijnt wanneer je de pensioenaangifte probeert te openen? - Kan de pensioenaangifte niet openen. De aangifteregel heeft de status pensioenaangifte 'Niet van toepassing'. De pensioenaangifte bevat geen verschillen ten opzichte van de voorgaande pensioenaangifte in dezelfde periode of de pensioenaangifte is niet (volledig) ingericht. ================================================================ Description.....: [MESSAGE]: Kan de pensioenaangifte niet openen. De aangifteregel heeft de status pensioenaangifte 'Niet van toepassing'. De pensioenaangifte bevat geen verschillen ten opzichte van de voorgaande pensioenaangifte in dezelfde periode of de pensioenaangifte is niet (volledig) ingericht. Type............: Afas.Profit.MessageException HResult.........: -2146233088 (0x80131500) Source..........: AfasHrPayroll TargetSite......: Void StartPension(Afas.Profit.Forms.RowAction, Afas.Profit.Forms.RowActionEventArgs) DeclaringType...: AfasHrPayroll.AfasHrTaxView, AfasHrPayroll ProductVersion..: 209.14008.46994160+20250120132022.R1.2b9474884b32b01917fd249ae82e46994d16aee0 ---------------- Action Id.......: Pensioenaangifte Action Form.....: AfasHrPayroll.AfasHrTaxView Action View.....: (Hr, 93FAFD1C40F615BAC92F53A1839FD23C) ================================================================ at void AfasHrPayroll.AfasHrTaxView.StartPension(RowAction parSender, RowActionEventArgs parEventArgs) in C:/Dev/profit-release/08/src/Human Resource/Projects/AfasHrPayroll/Class Modules/AfasHrTaxView.vb:line 411 at void System.Collections.Generic.List<T>.ForEach(Action<T> action) at void Afas.Profit.Forms.ActionBase.InternalExecute() in C:/Dev/profit-release/08/src/Anta/Projects/Cool Projects/Afas.Profit.Forms/FormDefinitions/ActionBase.cs:line 383 at void Afas.Profit.Forms.ActionBase.ForceExecute() in C:/Dev/profit-release/08/src/Anta/Projects/Cool Projects/Afas.Profit.Forms/FormDefinitions/ActionBase.cs:line 343 ================================================================ Version.........: 2.9.1400.8 EnvironmentId...: O89714AA UserId..........: 88183.dvschaik AppMode.........: 0 Time............: 07-04-2025 15:40:35.454 +02:00 Session.........: AFAS\88183.dvschaik on AFAS\XENAPPP29071$ UnitId..........: 1 MemberId........: 89714 MemberNumber....: 89714 - Kun je bevestigen of de UPA-statusvelden correct zijn geconfigureerd in de aangiftecockpit? - Nee, zie mijn tekst daar gaat het juist om. - Kun je aangeven of er wijzigingen zijn doorgevoerd in de configuratie sinds de laatste succesvolle werking? - Er is geen succesvolle verwerking geweest.","Beste Dennis, De status UPA stond helemaal achterin de weergave, dus hij staat er wel (zie b1). De status geeft inderdaad de melding: niet van toepassing. Ik heb nog even verder gekeken en jullie hebben een vinkje vergeten. Het vinkje pensioenaangifte generen staat uit (zie b2). Deze zet je aan bij de eigenschappen werkgever / instantie Belastingdienst / Loonheffingennummer. Zie hier voor het help-artikel: https://help.afas.nl/help/NL/SE/Pay_Config_Pnsion_Upa.htm#o43587:~:text=Pensioenaangifte%20aanzetten%20bij%20de%20werkgever%3A. Ik ga ervan uit dat je hiermee voldoende bent geïnformeerd en sluit hierbij het incident. Wil jij mij beoordelen op mijn klantvriendelijkheid en het gegeven antwoord? Heb je een nieuwe vraag? Met help.afas.nl is je antwoord zó gevonden. Vind je hier de oplossing niet? Stuur dan een incident via https://klant.afas.nl/support. Alvast bedankt en een fijne dag gewenst! Met vriendelijke groet, Anne May de Ruwe"
ERP,"[Btw-aangifte | communicatieprofiel] Versturen btw-aangifte via Taartenwinkel.nl mislukt, communicatielog blijft leeg. bericht staat op Communicatie met digipoort, maar moet CIS zijn","Probleembeschrijving: Goedemiddag, Bij Taartenwinkel.nl lukt het niet om de btw-aangifte via het systeem te versturen. Er wordt geen communicatie opgestart. Wanneer ik in het communicatielog kijk, dan blijft dit leeg, ondanks het feit dat alle instellingen aangepast en gecontroleerd zijn voor Taartenwinkel.nl. Taartenwinkel.nl is onlangs overgestapt van hun accountantsomgeving 63263 naar een eigen omgeving op een eigen licentie (33092). Op de ""oude"" omgeving werden de aangiftes correct verstuurd. Zouden jullie wellicht kunnen kijken wat er mis gaat? Voor mij heeft het er alle schijn van dat de verzending nog op de oude omgeving staat of iets dergelijks. Communicatieomgeving = huidige omgeving Communicatieprofiel CIS is gedeblokkeerd met status ""Actief, gekoppeld met AFAS Online Digipoort-service"" Communicatieprofiel OTP is geblokkeerd BTW-identificatienummer administratie is ingevuld Omzetbelastingnummer administratie is ingevuld Aangifte is definitief gemaakt en klaargezet voor verzending Administratie-eigenschappen zijn volledig ingevuld De aangifte in kwestie is aangemaakt, definitief gemaakt en klaargezet voor verzending voordat het digipoort certificaat was aangepast. Ik wilde Taartenwinkel.nl de aangifte laten verwijderen en opnieuw laten genereren om te kijken of het na de aanpassing beter gaat in een nieuwe aangifte, maar dat lukt uiteraard niet omdat de aangifte al definitief is. Alvast bedankt! Hartelijke groet, Isabella van Wely Van Wely Project Solutions Aanvullende details: - Kun je bevestigen of de communicatieomgeving correct is ingesteld voor de nieuwe licentie? - ja - Kun je aangeven of er foutmeldingen verschijnen bij het verzenden van de aangifte? - ja, er zijn geen foutmeldingen, communicatielog geeft code niveau ""I"" - bericht ID, deelnemer en informatie blijven leeg - Kun je controleren of de instellingen voor de Digipoort-service overeenkomen met de nieuwe omgeving? - Digipoort is volgens help instructies ingericht","Beste Isabella, Even een aannamen dat ik jou niet kan bereiken via het algemene nummer, vandaar dat ik het zo doe. Ik zie dat de btw-aangifte klaar is gezet en alleen nog verzonden moet worden. Deze staat nog in de communicatieberichten voor te verzenden met Digipoort. De profielen staan nu wel goed ingericht. Via de volgende stappen kan je het bericht ‘herstellen’ om opnieuw te verzenden via Communicatie met integratie service in plaats van Communicatie met Digipoort: 1. Ga naar Algemeen / Communicatieservice / Communicatiebericht. 2. Zoek het bericht op met de status 'Fout bij verzenden' of Versturen bericht mislukt'. 3. Selecteer het bericht en klik op de actie Herstellen berichtstatus. 4. Druk op F5 om de weergave te vernieuwen. Je ziet dan dat de status wijzigt. 5. Klik op de actie Bericht verzenden. 6. Druk op F5 om de weergave te vernieuwen. De status moet nu wijzigen naar Verzonden. Profit zou in plaats van het OTP profiel nu het CIS profiel willen gebruiken om de btw-aangifte te verzenden. Hiermee gaat het zeker lukken! Ik ga ervan uit dat je hiermee voldoende bent geïnformeerd en sluit hierbij het incident. Wil jij mij beoordelen op mijn klantvriendelijkheid en het gegeven antwoord? Heb je een nieuwe vraag? Met help.afas.nl is je antwoord zó gevonden. Vind je hier de oplossing niet? Stuur dan een incident via https://klant.afas.nl/support. Alvast bedankt en een fijne dag gewenst! Met vriendelijke groet, Jasper Oud De jaarovergang is in volle gang! Om je hier goed op voor te bereiden hebben we diverse thema pagina's voor je klaarstaan. Kijk snel op https://klant.afas.nl/themapaginas voor meer informatie."
ERP,[Blokkade] Knop voor aanmaken BTW-aangifte in administratie 2 reageert niet.,"Probleembeschrijving: In administratie 2 is het aanmaken van een BTW aangifte niet meer mogelijk. De knop reageert niet. Andere administratie werken nog normaal. er zijn geen wijzigingen in de instellingen gedaan, zover bekend, Aanvullende details: - Kun je precies aangeven welke foutmelding of gedrag je ervaart wanneer je op de knop klikt? - geen foutmelding - Sinds wanneer speelt dit probleem in administratie 2? - 7-4-2025 - Hebben er ooit wijzigingen plaatsgevonden in administratie 2 die mogelijk invloed hebben gehad op de BTW-aangifte functie? - nee, herberekenen is al uitgevoerd.","Beste Els, Dit probleem wordt veroorzaakt door een openstaande sessie die de knop blokkeert. Dit kan worden opgelost door de blokkering op te heffen: 1. Ga naar: Algemeen / Inrichting / Blokkeringen / Functie (beheerder). 2. Hef de blokkering op. 3. Controleer ook Algemeen / Inrichting / Blokkeringen / Gegevens (gebruiker) & Algemeen / Inrichting / Blokkeringen / Gegevens (beheerder) & Algemeen / Inrichting / Blokkeringen / Boekingssessie. Lost dit het probleem niet op? Druk op _Niet Akkoord_ en geef een toelichting. Ik ga ervan uit dat je hiermee voldoende bent geïnformeerd en sluit hierbij het incident. Wil jij mij beoordelen op mijn klantvriendelijkheid en het gegeven antwoord? Heb je een nieuwe vraag? Met help.afas.nl is je antwoord zó gevonden. Vind je hier de oplossing niet? Stuur dan een incident via https://klant.afas.nl/support. Alvast bedankt en een fijne dag gewenst! Met vriendelijke groet, Stijn van Brummelen De jaarovergang is in volle gang! Om je hier goed op voor te bereiden hebben we diverse thema pagina's voor je klaarstaan. Kijk snel op https://klant.afas.nl/themapaginas voor meer informatie."
ERP,[Connector KnSalesRelationOrg] Foutmelding door onjuiste postcode-indeling bij buitenlandse klanten met Nederlands btw-nummer.,Probleembeschrijving: Wij hebben klanten uit het buitenland die een nederlands btw nummer hebben. Hier krijgen wij foutmeldingen op omdat de postcode niet aan de vereiste indeling voldoet. Klopt want het is geen Nederlands adres maar wel een binnenlandse transactie. Hoe los ik het op dat deze melding niet constant terug komt ? Aanvullende details: - _Kun je precies aangeven welke foutmelding wordt weergegeven?_ - zie bestand - _Welke stappen doorloop je wanneer deze melding verschijnt?_ - ik verwijder de melding - _Heb je geprobeerd de postcode-indeling aan te passen of een alternatieve invoer te gebruiken?_ - adressen worden geimporteerd,"Goedemorgen Petra, We hebben geanalyseerd wat er wordt ingestuurd, via het bericht wat bij jullie staat onder CRM/ dossier/ dossier in de weergave Compaxo-Fobis Fouten 2. Aan de hand hiervan, zijn we niet verbaasd dat de melding komt, vanwege de informatie de applicatie instuurt richting Profit. Wat volledig wordt ingestuurd is dit: Afas entity:{""KnSalesRelationOrg"":{""Element"":{""@DbId"":""19183"",""Fields"":{""DbId"":""19183"",""IsDb"":true,""VaId"":""NL824345678B01"",""PaCd"":""30"",""LgId"":""GB"",""CuId"":""EUR"",""ColA"":""1400""},""Objects"":[{""KnOrganisation"":{""Element"":{""Fields"":{""PadAdr"":true,""AutoNum"":true,""MatchOga"":""9"",""Nm"":""Wing Foods A/S""},""Objects"":[{""KnBasicAddressAdr"":{""Element"":{""Fields"":{""CoId"":""NL"",""PbAd"":false,""Ad"":""Hjortehegnet"",""HmNr"":8,""ZpCd"":""2800"",""Rs"":""Kongens Lyngby"",""ResZip"":true}}}}]}}}]}}} Hierin staat onder andere de landcode `""CoId"":""NL""` en betekent dat het adres als Nederlands wordt behandeld in Profit. Hierdoor wordt de postcode gecontroleerd op de Nederlandse standaard (vier cijfers en twee letters). Dit kan een foutmelding veroorzaken als het adres een buitenlands adres is, zoals in Denemarken met postcode ""2800"". Om dit op te lossen, moet de applicatie die deze entry instuurt, de landcode aanpassen naar het juiste land, bijvoorbeeld ""DK"" voor Denemarken. Dit voorkomt dat Profit de postcode valideert op de Nederlandse standaard. Het is dus niet iets wat fout gaat in Profit, maar iets wat verkeerd door de applicatie wordt ingestuurd en zij zullen hier zelf een aanpassing in moeten doen. Ik ga ervan uit dat je hiermee voldoende bent geïnformeerd en sluit hierbij het incident, omdat wij vanuit hier geen aanpassing kunnen doen in wat zij insturen. Met dit bericht moeten zij in ieder geval verder kunnen. Wil jij mij beoordelen op mijn klantvriendelijkheid en het gegeven antwoord? Heb je een nieuwe vraag? Met help.afas.nl is je antwoord zó gevonden. Vind je hier de oplossing niet? Stuur dan een incident via https://klant.afas.nl/support. Alvast bedankt en een fijne dag gewenst! Met vriendelijke groet, Thomas de Krosse De AFAS Open is niet te missen voor elke organisatie die met AFAS werkt. Tijdens de AFAS Open vertellen onze productmanagers je alles over de nieuwe functionaliteit van Profit 6. En reken maar dat de nieuwe versie weer boordevol nieuwe functionaliteit zit, waarmee jouw organisatie nog slimmer en leuker kan werken. Schrijf je snel in: https://www.afas.nl/events/afas-open/2025"
ERP,"[Rapport] Aanmaning voor debiteur printen of mailen, geen printbestand verzonden aan printer. (AntaObject) The foreignkey does not exist in the database. FieldId=Definitiegroep, ForeignkeyId=KnMdA",Probleembeschrijving: Ik wil de aanmaning voor een debiteur printen en/of mailen. Er is echter een foutmelding die ik niet kan oplossen? Aanvullende details: - Waar loop je precies tegenaan? Kun je de foutmelding beschrijven? - Er wordt geen print bestand verzonden aan de printer - Welke stappen doorloop je? Kun je precies aangeven waar de foutmelding verschijnt? - Op het eind van het aanmaken van een aanmaning - Heeft het ooit gewerkt? - nee,"Beste Chris, Goed elkaar even gesproken te hebben en bedankt voor het toevoegen van de foutmelding! Je had de foutmelding al goed gevonden en gedeeld, dus dat was top! Hoe je foutmeldingen leest vind je in dit helpartikel: https://help.afas.nl/vraagantwoord/NL/SE/100085.htm?query=foutmelding Daaruit kon ik het volgende opmaken: (AntaObject) The foreignkey does not exist in the database. FieldId=Definitiegroep, ForeignkeyId=KnMdA Als ik dit in help.afas.nl plak, dan krijg ik het volgende helpartikel naar voren [(AntaObject) The foreignkey does not exist in the database. FieldId=Eigenaar, ForeignkeyId=KnUsr]: https://help.afas.nl/meldingen/NL/SE/129754.htm?query=The%20foreignkey%20does%20not%20exist%20in%20the%20database.%20FieldId%3DDefinitiegroep%2C%20ForeignkeyId%3DKnMdA Ondanks dat het veld niet overeenkomt, weet ik dat dit ook fout kan lopen op de definitiegroep naar aanleiding van de foutmelding. Vervolgens hebben we samen naar de rapporten gekeken via Algemeen / Uitvoer / Beheer / Rapport. Hier heb ik een weergave toegevoegd (Definitiegroep) waar ik het veld Definitiegroep heb toegevoegd aan de weergave. Hierdoor kan je gemakkelijk zien welk rapport een definitiegroep gekoppeld heeft. Hier zagen we dat de definitiegroep 11, 12 en 16 waren gekoppeld aan de rapporten. Als ik via Algemeen / Beheer / Instellingen Autorisatie / Definitiegroep naar de definitiegroepen kijk, zie ik dat deze groepen niet bestaan. Via Algemeen / Uitvoer / Beheer / Rapport kan je met de actieknop Definitie de eigenschappen van het rapport openen. Hier kan je het veld definitiegroep leegmaken zodat het aanmaningsrapport weer gebruikt kan worden! Ik ga ervan uit dat je hiermee voldoende bent geïnformeerd en sluit hierbij het incident. Wil jij mij beoordelen op mijn klantvriendelijkheid en het gegeven antwoord? Heb je een nieuwe vraag? Met help.afas.nl is je antwoord zó gevonden. Vind je hier de oplossing niet? Stuur dan een incident via https://klant.afas.nl/support. Alvast bedankt en een fijne dag gewenst! Met vriendelijke groet, Jasper Oud De jaarovergang is in volle gang! Om je hier goed op voor te bereiden hebben we diverse thema pagina's voor je klaarstaan. Kijk snel op https://klant.afas.nl/themapaginas voor meer informatie."
ERP,[rapport I veld] Lege pagina's met alleen een datum in het verleden bij aanmaningen in Afas.,"Probleembeschrijving: Wij hebben in Afas aanmaningen klaar gezet. In Merlin en in Lincsafe (admin 1 en 6) en in beide zitten lege pagina's waar alleen een datum in het verleden op staat. 2 weken terug is dit voor het eerst voorgekomen. Nu zitten er een aantal lege paginas tussen, wij kunnen deze nu niet versturen aan de klanten. Kunnen jullie meekijken? Ik ben vandaag na 13:30 bereikbaar. Aanvullende details: - Waar loop je precies tegenaan? - zie bovenstaande omschrijving - Welke stappen doorloop je? Voeg hierboven een bijlage toe van het scherm waarin je je bevindt. - Aanmaningen genereren - Wat heb je zelf al geprobeerd om dit op te lossen? - .","Beste Ilse, Ik heb meegekeken en heb de fout gevonden. Zo ver ik zie blijven alle eerste aanmaningen leeg. Het probleem lijkt in het rapport te zitten. Via algemeen / uitvoer / beheer / rapport kan je deze vinden. Het rapport dat jullie gebruiken heeft de naam __1e Digitale herinnering_. Dubbelklik op dit rapport. Op afbeelding 1 zie je hoe je de instellingen van het rapportfilter kan bereiken. Op afbeelding 2 zie je dat op dit rapport een filter zit. Hierdoor worden gegevens tegengehouden (behalve alle aanmaningen met vervaldatum 25-03-2025). Het verwijderen van het filter lost dit probleem op. Succes! Met vriendelijke groet, Stijn van Brummelen Meer informatie over de werkwijze van Support vind je op onze klantportal: https://klant.afas.nl/werkwijze-support"
HRM,"[Onboarden / Woonplaats] Foutmelding bij onboarding: ""Voor land 'D' is de woonplaats 'Elten' niet bekend.""","Probleembeschrijving: Hi Femke, We krijgen de volgende foutmelding bij het doorsturen van een onboarding vanuit salesfore naar Afas: ""externalMessage"": ""Voor land 'D' is de woonplaats 'Elten' niet bekend."", Bij 'landen' bestaat D. En ik heb in test bij een bestaand iemand het adres gewijzigd naar het adres van deze medewerker en de plaats bestaat. Zie jij wat er fout gaat? Groetjes, Wouter Geen aanvullende vragen gesteld.","Beste Wouter, Zoals besproken tijdens het overleg onderhoud Profit een centrale adressentabel (inclusief woonplaatsen). Hierin is de woonplaats Elten vanuit de standaard niet aanwezig. Op het moment dat je het adres bij een medewerker gaat wijzigen naar dit adres, of een nieuwe medewerker toevoegt met dit adres, dan wordt het adres en de woonplaats automatisch toegevoegd aan de adressentabel. Vandaar dat het handmatig vanuit Profit wel lukt. Je kunt ook direct de woonplaats toevoegen aan de woonplaatstabel, dan hoef je hiervoor niet een test persoon of medewerker aan te maken. Zie hiervoor: https://help.afas.nl/help/NL/SE/App_GenSet_Cntry_Cty.htm. Je gaat dit doorvoeren in de live omgeving en daarna de aanroep opnieuw doen. Ik ga ervan uit dat dit gaat lukken en sluit daarom hierbij dit incident. Fijne dag! Met vriendelijke groet, Femke van Diermen Meer informatie over de werkwijze van Support vind je op onze klantportal: https://klant.afas.nl/werkwijze-support"
ERP,"[OHW methode] WIP-methode wijzigen voor projecten met geboekte facturen, foutmelding: journals op verkeerde GL.","Probleembeschrijving: Dear AFAS Helpdesk Team, I hope this message finds you well. Until February, we were manually creating projects in the project environment. However, we recently transitioned to creating projects automatically via API. During this transition, the configuration for the ""Work in Progress"" (WIP) method was set incorrectly. Our process requires selecting the ""No work in progress (0)"" method, as we book most sales invoices to the WIP account. Unfortunately, we later discovered that some projects were mistakenly created with the ""Result based on actual costing (NTF) (2)"" method. As a result, journal entries have been posted to incorrect general ledger accounts. We have already updated the API so that all new projects are now being created with the correct ""No work in progress (0)"" method. For the existing projects, we were able to manually adjust the WIP method where no invoices had yet been posted. However, for some projects where invoices have already been created, we are unable to change the WIP method back to ""No work in progress (0)"". Since project numbers are sensitive and play a critical role in our system, we kindly request your expertise to override this setting and change the WIP method from ""Result based on actual costing (NTF) (2)"" to ""No work in progress (0)"" for the affected projects. We have attached an Excel file listing the relevant project numbers along with supporting screenshots for your reference. ePO10051 ePO10125 ePO10328 ePO10576 ePO10579 ePO10593 ePO10601 ePO10602 ePO10615 ePO10630 ePO9212 Your assistance is essential to ensure the continuity of our daily operations. We would greatly appreciate your support in resolving this matter at your earliest convenience. Thank you very much in advance for your help. Kind Regards Mirold Finance Manager Aanvullende details: - Kun je precies aangeven welke foutmeldingen of beperkingen je tegenkomt bij het wijzigen van de WIP-methode voor projecten waar al facturen zijn geboekt? - Journals landed on the wrong GL - Zijn er specifieke stappen die je hebt geprobeerd om dit probleem op te lossen, en wat waren de resultaten? - Yes some are fixed but rest need AFAS help - Kun je bevestigen of dit probleem zich voordoet bij alle genoemde projectnummers of slechts bij een deel ervan? - only with some","Dear Mirold, First in Dutch, for English read below: Het is helaas niet mogelijk om de methode OHW nog te wijzigen op een project, wanneer je hier al mutaties (nacalculatie) op geboekt hebt. Dit wordt na het boeken van nacalculatie dichtgezet en dit wordt niet teruggedraaid wanneer je de nacalculatie verwijdert. Ook na het verwijderen van alle nacalculatie is dit dus niet mogelijk. In de praktijk lossen klanten dit vaak zelf op door het huidige project af te melden en een nieuw project aan te maken, waarin je de gewenste methode toepast en de nacalculatie opnieuw boekt. Eventueel kan je het bestaande project nog een 'dummycode' geven, zodat je het nieuwe project van het 'oude' projectnummer kan voorzien. De afgemelde projecten kan je in Projecten / Project / Project met de actieknop '4. Wijzigen projectnummer' aanpassen. Een databewerking is eventueel mogelijk, maar weet dat hier 1. een lange doorlooptijd op zit bij Productontwikkeling en 2. kosten aan zijn verbonden. Mocht dit echt nodig zijn, laat het weten, maar probeer het eerst vanuit jouw testomgeving op bovenstaande manier. Hou er rekening mee dat een databewerking normaal al erg tijdrovend is, maar nu Profit 6 eraan komt, verwacht ik dat dit nog meer tijd gaat kosten dan normaal. English: It is unfortunately not possible to change the WIP method on a project once transactions (actual costing) have been posted to it. After posting actual costing, this setting is locked and will not be reversed even if you delete the actual costing entries. Therefore, even after removing all actual costing entries, changing the WIP method remains impossible. In practice, customers often resolve this themselves by closing the current project and creating a new one where they apply the desired method and rebook the actual costing. Optionally, you can assign a 'dummy code' to the existing project so that its original project number can be used for your new project. Closed projects can be adjusted in Projects / Project / Project using action button '4. Change Project Number'. A data modification may be possible; however, please note that 1) there is typically a long lead time with Product Development for such changes and 2) additional costs are involved. If this is absolutely necessary, let us know—but first try resolving it in your test environment using these steps above as guidance. Keep in mind that data modifications are generally very time-consuming; with Profit 6 on its way now as well, I expect these changes will take even more time than usual. Please let me know if the method above worked for you. Kind regards, Thomas de Krosse"
ERP,[Inkoopfactuur | Workflow] Facturen voor administratie 8 komen niet in de workflow bij kloppende verplichting.,"Probleembeschrijving: Factuur komt niet in de workflow bij kloppende verplichting voor specifieke administratie Tijdens het inboeken van facturen via E-factuur > boeken journaalpost krijgen we bij crediteuren met verplichtingen de melding: ""Voor crediteur [CREDITEURNAAM] zijn niet-afgehandelde verplichtingen aanwezig. Wil je deze nu afboeken?"" Als wij op ""ja"" drukken, dan kunnen wij de verplichtingen selecteren. Wat gaat er exact fout Afgelopen week hebben wij 29 facturen ingeboekt van crediteur Adyen, waarvan 14 facturen met een verplichting. In onze instellingen hebben wij ingericht dat als een factuur (met een foutmarge van 2% op het bedrag) overeenkomt met de verplichting, deze uitsluitend goedgekeurd hoeft te worden door de verantwoordelijke. Echter, in administratie 8 (Henri Willig Germany GmbH) zijn er facturen niet in de workflow gekomen. De factuur werden zonder beoordeling goedgekeurd voor betaling en dit is onwenselijk. Voor andere administraties is dit wel correct gegaan. Vraag Kan er bekeken worden wat er fout staat in de instellingen waardoor facturen voor administratie 8 bij een 100% kloppende verplichting niet in de workflow gaan? Het is wenselijk dat de beoordelaar wel de factuur ziet, zoals in andere administraties. Bijlage Bijgevoegd vindt u een lijst met facturen uit administratie 8 van crediteur Adyen. De oranje regels zijn op verplichting geboekt met de pop-up melding. De gele regels zijn tijdens het boeken journaalpost op de verplichting geboekt in het veld verplichting. Aanvullende details: - Zou je kunnen aangeven welke exacte workflow-instellingen er momenteel actief zijn voor administratie 8? - Zover wij kunnen zien is dit niet administratie gebonden. - Is er een specifieke manier waarop de vergelijkingen tussen verplichtingen en facturen zijn ingericht? - Er wordt gekeken naar verplichting status en dan gaat hij naar de stap verplichting - Zijn de workflows zoals gebruikt in administratie 8 vergelijkbaar met die van andere administraties qua instellingen? - Ja dat is dezelfde workflow. De e-factuur workflow","Beste Sam, Goed elkaar vanmiddag gesproken te hebben! Zodra ik de kopie van de omgeving heb ontvangen zal ik controleren hoe je de beoordelaar in de kop kan wijzigen. Met betrekking tot dit incident waar de inkoopfacturen niet de workflow ingaan als er een verplichting wordt gekoppeld: In de workflow staan er een flink aantal condities vastgelegd voor de inkoopfacturen workflow. Daarnaast is de situatie heel specifiek waar het fout gaat: Als een inkoopfactuur vanuit administratie 8 een verplichting gekoppeld krijgt, komt deze in de workflow. Heeft deze geen verplichting? Dan komt deze niet in de workflow. Als een inkoopfactuur niet de workflow ingaat, ligt dit 99% van de tijd aan de condities van de workflow. Dit controleren en testen gaat helaas buiten de kennis van Support om. Zeker met een groot aantal condities is dit te complexe inrichting voor onze afdeling. Wat ik zelf zou verwachten is dat het in de condities Factuur heeft verplichting zit en Factuur komt overeen met verplichting. Hier komt er een filter twee keer voor (zie video in de bijlage). Dit kan je testen door de filter te wijzigen in de testomgeving en een inkoopfactuur aan te maken. Voor verdere ondersteuning hierin moet ik je echter doorverwijzen naar Servicemanagement. Meer informatie over Servicemanagement vindt je hieronder: Op basis van de door jou aangeleverde informatie zien wij dat je vraag gaat over de inrichting van Profit. Helaas kan Support je daarop niet ondersteunen. Het team Servicemanagement helpt jou hier echter graag mee verder! Ondersteuning bij optimalisatie en kleine inrichtingsvraagstukken. AFAS Support helpt je graag verder wanneer je in je dagelijkse werkzaamheden tegen een fout in de software aanloopt. Support biedt geen ondersteuning op inrichtingsvragen. Voor optimalisatie- én kleine inrichtingsvragen schakel je de Servicemanagers van AFAS in. Ze doen de inrichting voor jou of samen met jou. Zo dragen ze de kennis over en heb je ons de volgende keer niet meer nodig! Hoe werkt servicemanagement? 1. Je stuurt jouw aanvraag in via klant.afas.nl/aanmaken-aanvraag-servicemanagement. 2. De aanvraag wordt gekoppeld aan een servicemanager en je ontvangt een link om een afspraak in te plannen. Goed om te weten; Servicemanagement is een betaalde dienst. De kosten van een eerste afspraak zijn € 200,-. Deze kosten zijn voor het gesprek, de voorbereiding en de terugkoppeling. Afhankelijk van het verloop van het gesprek zullen ze direct aanpassingen doen om het vraagstuk op te lossen of eventuele vervolgafspraken plannen. In het geval van vervolggesprekken worden de kosten hiervan besproken. 3. Na afloop beoordeel je het geleverde werk van de servicemanager. Hierna wordt de factuur verstuurd. Alle informatie vind je ook op klant.afas.nl/servicemanagement. Om te voorkomen dat je deze vraag handmatig moet overnemen in een nieuwe aanvraag, kun je vanuit deze pagina direct je aanvraag bij servicemanagement inschieten. Het onderwerp en de toelichting worden dan automatisch overgenomen. Ik sluit hierbij het incident en wens je een fijne dag! Met vriendelijke groet, Jasper Oud"
